Category,Type,Lot #,Shape,Carat,Color,Clarity,Cut,Pol.,Sym.,Depth %,Table %,Fluor.,Measurement,Lab,Certificate #,Rap. Price,Discount,Price/Ct,Total Price,Cert,Video,Cert,Video,,
Certified,1-1.49,11107,TRIL,1.3,I,SI2,,EX,EX,42.3,68,FNT,7.66 x 8.31 x 3.52,GIA,6305356678,"$3,800 ",-26.63%,"$2,788 ","$3,624 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=6305356678,https://up.diacam360.com/scan/566e_264775,,
Certified,1-1.49,11959,TRIL,1.2,I,SI2,,EX,VG,37.1,70,NON,8.35 x 8.60 x 3.19,GIA,1305115854,"$3,800 ",-28.79%,"$2,706 ","$3,247 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=1305115854,0,,
Certified,1-1.49,10371,TRIL,1.05,J,VS2,,EX,VG,36.2,55,None,7.55 x 8.33 x 3.01,GIA,,"$3,600 ",-27.20%,"$2,621 ","$2,752 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=<CERT#>,http://up.diacam360.com/scan/5600_91635,,
Certified,1-1.49,10975,TRIL,1.3,J,VS2,,EX,VG,36.1,65,None,7.89 x 8.71 x 3.14,GIA,2195462765,"$3,600 ",-29.58%,"$2,535 ","$3,296 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2195462765,http://up.diacam360.com/scan/10b7_242755,,
Certified,1-1.49,11951,TRIL,1.04,J,SI1,,VG,VG,37.4,56,NON,7.60 x 8.31 x 3.11,GIA,2337715087,"$3,400 ",-34.71%,"$2,220 ","$2,309 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2337715087,https://up.diacam360.com/scan/81b1_356360,,
Certified,1-1.49,11952,TRIL,1.01,J,SI1,,EX,EX,44.1,64,STG,6.85 x 7.25 x 3.20,GIA,1329658180,"$3,400 ",-42.32%,"$1,961 ","$1,981 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=1329658180,https://up.diacam360.com/scan/ccf3_356359,,
Certified,1-1.49,11885,TRIL,1.22,K,SI1,,EX,VG,39,63,FNT,7.82 x 8.12 x 3.16,GIA,5323687326,"$2,800 ",-27.14%,"$2,040 ","$2,489 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=5323687326,https://up.diacam360.com/scan/e45f_353292,,
Certified,1-1.49,11086P,TRIL,1.24,L,SI2,,VG,VG,37.9,64,FNT,7.71 x 8.36 x 3.17,GIA,2307153863,"$2,300 ",-26.09%,"$1,700 ","$2,108 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2307153863,,,
Certified,.9-.99,11485,TRIL,0.92,F,SI2,,EX,EX,38.4,69,NON,7.46 x 7.39 x 2.84,GIA,3315191483,"$4,000 ",-32.28%,"$2,709 ","$2,492 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=3315191483,http://up.diacam360.com/scan/8c1f_303894,,
Certified,.9-.99,11735,TRIL,0.91,H,SI1,,VG,G,24.3,59,MED,7.86 x 9.58 x 2.32,GIA,2307604900,"$4,100 ",-48.49%,"$2,112 ","$1,922 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2307604900,https://up.diacam360.com/scan/31b3_319310,,
